,,,,,,Formulation,,,,,Dataset,,,,,,,,,Training,,,,Evaluation,,,,Explanability,
Paper,citation key,year,Authors,citations,included,Function-level input,Function-level detection,Classification problem,Binary classification,Shaped by dataset,Label ratio not reflective of real-world,Low quality labels,Duplicate data,Synthetic-only,Lacking vulnerable/ patched pairs,Lacking non-code data,Lacking test/train split,"Test data leakage (e.g., temporal relations, pre-trained LLMs)",Overly focused on C/C++,Language choice influenced by tools,Spurious correlation,Not training on vulnerable/patched pairs,Overfitting/poor generalization,Classific. metrics only,Metrics not accounting for class imbalance,Not using paired metrics,Inconsistent use of datasets & baselines,Poor interpretability & explainability,Poor practical evaluation
A Systematic Literature Review on Detecting Software Vulnerabilities with Large Language Models,kaniewski2025systematicliteraturereviewdetecting,2025,Sabrina Kaniewski et al. ,6,263,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes
Uncovering the limits of machine learning for automatic vulnerability detection,risse2024uncovering,2024,"Niklas Risse,  Marcel Böhme",50,6,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
Dos and don’ts of machine learning in computer security,arp2022and,2021,Daniel Arp et al.,674,30,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes
A Survey on Automated Software Vulnerability Detection Using Machine Learning and Deep Learning,harzevili_survey_2023,2023,Harzevili et al,39,67,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
Vulnerability Detection with Code Language  Models: How Far Are We?,ding2024vulnerability,2024,Ding et al.,151,?,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes
Top Score on the Wrong Exam: On Benchmarking in Machine Learning for Vulnerability Detection,top_score_2024,2025,Risse et al.,33,81,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
Chasing Shadows:  Pitfalls in LLM Security Research,evertz26chasing,2025,Evertz et al.,2,72,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no
Machine Learning for Cybersecurity: A Comprehensive Literature Review,,2026,Gökstorp et al,0,?,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
A Temporal Paradox in Software Vulnerability  Prioritization:  Why Do Large Language Models Perform Better  Post-Knowledge Cutoff Date?,,2026,Al Haddad et al,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Large language models for software vulnerability detection: a guide for researchers on models, methods, techniques, datasets, and metrics",,2025,"Seyed Mohammad Taghavi Far, Farid Feyzi",25,,,,,,,,,,,,,,,,,,,,,,,,,
"LLMs Cannot Reliably Identify and Reason About Security Vulnerabilities (Yet?):  A Comprehensive Evaluation, Framework, and Benchmarks",,2024,Ullah et al.,25,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Learning Based Vulnerability Detection:  Are We There Yet?,reveal_2021,2022,Chakraborty et al,1021,4,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes
DiverseVul: A New Vulnerable Source Code Dataset for Deep Learning Based Vulnerability Detection,,2023,Chen et al.,355,,,,,,,,,,,,,,,,,,,,,,,,,
Revisiting the Performance of Deep  Learning-Based Vulnerability Detection on  Realistic Datasets,chakraborty2024revisiting,2024,Chakraborty et al,28,4,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
Benchmarking Software Vulnerability Detection  Techniques: A Survey,bi_benchmarking_2023,2023,Bi at el.,12,?,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes
An Investigation of Quality Issues in Vulnerability Detection Datasets,guo2023survey_dataset_quality,2023,Guo and Bettaieb,16,14,,,,,,yes,yes,,,,,,,,,,,,,,,,,
From Bugs to Benchmarks: A Comprehensive Survey of Software Defect Datasets,,2026,Zhu et al,7,151,,,,,,,,,,,,,,,,,,,,,,,,
LLMs in Software Security: A Survey of Vulnerability Detection Techniques and Insights,llm_in_software_2026_sheng,2025,Sheng et al,48,60,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes
Broken Promises: Measuring Confounding Effects in Learning-based Vulnerability Discovery,imgrund2023broken,2023,Imgrund et al.,12,,,,,,,,,,,,,,,,,yes,,yes,,,,,yes,no
"A Systematic Review on Detection, Repair, and Explanation of Vulnerabilities in Source Code Using Large Language Models",systematic_germano_2025,2025,Germano et al.,3,208,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,no
AI-Based Software Vulnerability Detection: A Systematic Literature Review,shimmi2025aibasedsoftwarevulnerabilitydetection,2025,Shimmi et al.,5,98,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no
Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead,zhou_large_2024,2024,Zhou et al.,203,82,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
